date,bank,channel,rate_1m,rate_3m,rate_6m,rate_12m,rate_18m,rate_24m,rate_36m
2026-06-19,Techcombank,counter,4.4,4.7,6.4,6.6,5.7,5.7,5.7
2026-06-19,VPBank,counter,4.8,4.75,6.4,6.5,6.0,6.0,6.0
2026-06-19,TPBank,counter,4.5,4.5,5.1,5.4,5.2,5.2,5.8
2026-06-19,SeABank,counter,3.95,4.45,4.95,5.3,5.95,5.95,5.95
2026-06-19,VIB,counter,4.8,4.75,5.5,6.5,5.7,5.8,5.8
2026-06-19,Vietcombank,counter,2.1,2.4,3.5,5.2,5.3,5.3,5.3
2026-06-19,VietinBank,counter,2.1,2.4,3.5,5.2,5.2,5.3,5.3
2026-06-19,Agribank,counter,2.6,2.9,4.0,5.2,5.2,5.3,5.3
2026-06-19,BIDV,counter,2.1,2.4,3.5,5.2,5.2,5.3,5.3
2026-06-19,MBBank,counter,3.7,4.1,4.7,6.1,5.5,6.3,6.3
2026-06-19,ACB,counter,3.5,3.9,4.5,5.2,5.2,5.2,5.2
2026-06-19,ABBank,counter,3.6,3.8,6.1,6.1,6.3,6.3,6.3
2026-06-19,MSB,counter,3.6,3.6,4.7,5.3,5.3,5.3,5.3
2026-06-19,LPBank,counter,4.4,4.4,6.2,6.2,6.5,6.6,6.6
2026-06-19,GPBank,counter,3.65,3.75,5.1,5.4,5.4,5.4,5.4
2026-06-19,Eximbank,counter,3.5,3.6,4.7,5.0,5.5,5.5,5.5
2026-06-19,Kienlongbank,counter,3.5,3.5,5.3,5.5,5.25,5.25,5.25
2026-06-19,SCB,counter,1.6,1.9,2.9,3.7,3.9,3.9,3.9
2026-06-19,SHB,counter,3.9,4.2,5.2,5.6,5.7,5.8,6.1
2026-06-19,PVcomBank,counter,4.75,4.75,5.5,5.8,6.3,6.3,6.3
2026-06-19,Saigonbank,counter,4.75,4.75,6.0,6.3,6.5,6.5,6.5
2026-06-19,VietBank,counter,4.5,4.5,6.0,6.2,6.5,6.5,6.5
2026-06-19,HDBank,counter,3.5,3.6,5.4,5.7,6.0,5.4,5.4
2026-06-19,VietABank,counter,4.5,4.7,5.9,6.0,6.1,6.2,6.2
2026-06-19,NamABank,counter,3.9,4.0,5.0,5.5,5.7,5.7,5.7
2026-06-19,Vikki Bank,counter,4.7,4.7,6.4,6.5,6.3,6.3,6.3
2026-06-19,BAOVIET Bank,counter,3.9,4.2,6.0,6.3,6.25,6.25,6.25
2026-06-19,Viet Capital Bank,counter,4.75,4.75,6.15,6.45,6.85,6.95,5.4
2026-06-19,PG Bank,counter,4.75,4.75,7.1,7.2,6.8,6.8,6.8
2026-06-19,BacABank,counter,4.55,4.55,6.8,6.6,6.9,6.9,6.9
2026-06-19,NCB,counter,4.5,4.7,6.2,6.4,6.2,6.2,6.2
2026-06-19,CBBank,counter,4.75,4.75,5.25,6.4,5.8,5.8,5.8
2026-06-19,OCB,counter,4.75,4.75,6.2,6.5,6.7,6.9,7.1
2026-06-19,OceanBank,counter,4.5,4.75,6.5,7.2,7.2,7.2,7.2
2026-06-19,Techcombank,online,4.5,4.75,6.7,6.9,6.0,6.0,6.0
2026-06-19,VPBank,online,4.75,4.75,6.6,6.7,6.2,6.2,6.2
2026-06-19,TPBank,online,4.75,4.75,5.4,5.7,5.9,6.1,6.1
2026-06-19,SeABank,online,3.95,3.95,4.95,5.3,5.95,5.95,5.95
2026-06-19,VIB,online,4.75,4.75,5.7,6.5,5.9,6.0,6.0
2026-06-19,Vietcombank,online,2.1,2.4,3.5,5.2,4.6,4.7,4.7
2026-06-19,VietinBank,online,2.1,2.4,3.5,5.2,5.2,5.3,5.3
2026-06-19,Agribank,online,2.6,2.9,4.0,5.2,5.2,5.3,5.3
2026-06-19,BIDV,online,3.0,3.4,4.5,5.2,5.3,5.3,5.3
2026-06-19,MBBank,online,4.5,4.7,5.9,6.3,5.8,6.4,6.4
2026-06-19,ACB,online,4.4,4.65,5.3,5.8,5.0,5.0,5.0
2026-06-19,ABBank,online,3.6,3.8,6.1,5.6,6.3,6.3,6.3
2026-06-19,MSB,online,4.1,4.1,5.2,5.8,5.8,5.8,5.8
2026-06-19,LPBank,online,4.7,4.75,6.8,7.0,7.1,7.2,7.2
2026-06-19,GPBank,online,3.65,3.75,5.1,5.4,5.85,5.85,5.85
2026-06-19,Eximbank,online,3.5,3.6,4.7,5.0,5.8,5.8,5.8
2026-06-19,Kienlongbank,online,3.5,3.5,5.3,5.5,5.25,5.25,5.25
2026-06-19,SCB,online,1.6,1.9,2.9,3.7,3.9,3.9,3.9
2026-06-19,SHB,online,3.9,4.2,5.2,5.6,6.0,6.1,6.2
2026-06-19,PVcomBank,online,4.75,4.75,5.5,5.8,6.8,6.8,6.8
2026-06-19,Saigonbank,online,4.75,4.75,6.0,6.3,6.5,6.5,6.5
2026-06-19,VietBank,online,4.5,4.5,6.0,6.2,6.6,6.6,6.6
2026-06-19,HDBank,online,3.5,3.6,5.4,5.7,6.1,5.5,5.5
2026-06-19,VietABank,online,4.5,4.7,5.9,6.0,6.3,6.4,6.4
2026-06-19,NamABank,online,3.9,4.0,5.0,5.5,5.9,5.9,5.9
2026-06-19,Vikki Bank,online,4.7,4.7,6.4,6.5,6.0,6.0,6.0
